customer_id,recency,frequency,monetary,monetary_capped,total_quantity,unique_products,avg_order_value,first_purchase,last_purchase,customer_lifetime_days,purchase_frequency_per_month,avg_quantity_per_order,monetary_per_order,product_diversity_ratio,r_score,f_score,m_score,rfm_score,rfm_segment,purchase_frequency_per_month_fixed,is_one_time_customer,cluster,business_segment,pca_1,pca_2
12346,326,1,77183.6,77183.6,74215,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,0,30.0,74215.0,77183.6,0.0005595970900951,1,1,5,7,Medium Value,1.0,1,2,Extreme Bulk Buyers,2.241094443624301,22.709030049381465
12347,2,7,4310.0,4166.6,2458,103,23.68131868131868,2010-12-07 14:57:00,2011-12-07 15:52:00,365,0.5737704918032788,351.1428571428572,615.7142857142857,0.0576385002797985,5,5,5,15,Top Value,0.5737704918032788,0,0,Regular Active Customers,0.9786937453617063,-0.9930723000830602
12348,75,4,1797.24,1770.24,2341,22,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,282,0.4240282685512367,585.25,449.31,0.0123111359820928,2,4,4,10,High Value,0.4240282685512367,0,0,Regular Active Customers,-0.4331684695276732,-0.7113336947217715
12349,19,1,1757.55,1587.4860000000003,631,73,24.076027397260276,2011-11-21 09:51:00,2011-11-21 09:51:00,0,30.0,631.0,1757.55,0.0408505875769446,4,1,4,9,Medium Value,1.0,1,3,New / One-Time Customers,-0.2833161052069696,0.17447434551930643
12350,310,1,334.40000000000003,332.032,197,17,19.67058823529412,2011-02-02 16:01:00,2011-02-02 16:01:00,0,30.0,197.0,334.40000000000003,0.0095131505316172,1,1,2,4,Low Value,1.0,1,4,Dormant Low-Value Customers,-1.6493185117009386,1.7785834748108704
12352,36,8,2506.04,2425.022,536,59,29.482823529411764,2011-02-16 12:33:00,2011-11-03 14:37:00,260,0.9195402298850576,67.0,313.255,0.0330162283156127,3,5,5,13,Top Value,0.9195402298850576,0,0,Regular Active Customers,0.5005554591409175,-0.6425484447305472
12353,204,1,89.0,88.40299999999999,20,4,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,0,30.0,20.0,89.0,0.0022383883603805,1,1,1,3,Low Value,1.0,1,4,Dormant Low-Value Customers,-1.5584601927656658,1.2079717692301437
12354,232,1,1079.4,1079.4,530,58,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,0,30.0,530.0,1079.4,0.0324566312255176,1,1,4,6,Low Value,1.0,1,4,Dormant Low-Value Customers,-0.9716371479452302,1.3320720751950543
12355,214,1,459.4,454.0,240,13,35.338461538461544,2011-05-09 13:49:00,2011-05-09 13:49:00,0,30.0,240.0,459.4,0.0072747621712367,1,1,2,4,Low Value,1.0,1,4,Dormant Low-Value Customers,-1.4655560400544385,1.2691055657270358
12356,23,3,2811.43,2725.126,1591,53,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,302,0.297029702970297,530.3333333333334,937.1433333333332,0.0296586457750419,4,3,5,12,High Value,0.297029702970297,0,0,Regular Active Customers,-0.023116321906178242,-1.0754492504835096
12357,33,1,6207.67,6130.75,2708,131,47.38679389312977,2011-11-06 16:07:00,2011-11-06 16:07:00,0,30.0,2708.0,6207.67,0.0733072188024622,4,1,5,10,High Value,1.0,1,3,New / One-Time Customers,0.5126598578706387,0.3696311757516623
12358,2,2,1168.06,1164.964,248,13,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,149,0.4,124.0,584.03,0.0072747621712367,5,2,4,11,High Value,0.4,0,0,Regular Active Customers,-0.5170014007628847,-1.172008812732287
