antecedents,consequents,support,confidence,lift
23171 - regency tea plate green,23172 - regency tea plate pink,0.010916558581928231,0.7481481481481481,61.80238095238095
23172 - regency tea plate pink,23171 - regency tea plate green,0.010916558581928231,0.9017857142857142,61.80238095238094
22746 - poppy's playhouse livingroom,"22745 - poppy's playhouse bedroom, 22748 - poppy's playhouse kitchen",0.010051880674448769,0.7380952380952381,53.77052868391451
"22745 - poppy's playhouse bedroom, 22748 - poppy's playhouse kitchen",22746 - poppy's playhouse livingroom,0.010051880674448769,0.7322834645669292,53.77052868391451
23175 - regency milk jug pink,23174 - regency sugar bowl green,0.011132728058798098,0.7573529411764707,52.2912642669008
23174 - regency sugar bowl green,23175 - regency milk jug pink,0.011132728058798098,0.7686567164179104,52.29126426690079
"22746 - poppy's playhouse livingroom, 22748 - poppy's playhouse kitchen",22745 - poppy's playhouse bedroom,0.010051880674448769,0.8651162790697675,50.65858110097145
22745 - poppy's playhouse bedroom,"22746 - poppy's playhouse livingroom, 22748 - poppy's playhouse kitchen",0.010051880674448769,0.588607594936709,50.65858110097145
23170 - regency tea plate roses,23172 - regency tea plate pink,0.0106463467358409,0.6006097560975611,49.614655923344955
23172 - regency tea plate pink,23170 - regency tea plate roses,0.0106463467358409,0.8794642857142857,49.61465592334495
"22745 - poppy's playhouse bedroom, 22746 - poppy's playhouse livingroom",22748 - poppy's playhouse kitchen,0.010051880674448769,0.9073170731707317,48.52310728887636
22748 - poppy's playhouse kitchen,"22745 - poppy's playhouse bedroom, 22746 - poppy's playhouse livingroom",0.010051880674448769,0.5375722543352601,48.52310728887635
23171 - regency tea plate green,23170 - regency tea plate roses,0.012375702550799826,0.8481481481481481,47.84796747967479
23170 - regency tea plate roses,23171 - regency tea plate green,0.012375702550799826,0.698170731707317,47.84796747967479
22745 - poppy's playhouse bedroom,22746 - poppy's playhouse livingroom,0.011078685689580632,0.64873417721519,47.635623869801094
22746 - poppy's playhouse livingroom,22745 - poppy's playhouse bedroom,0.011078685689580632,0.8134920634920635,47.63562386980109
21094 - set/6 red spotty paper plates,21086 - set/6 red spotty paper cups,0.012753999135322092,0.7261538461538461,47.146493927125505
21086 - set/6 red spotty paper cups,21094 - set/6 red spotty paper plates,0.012753999135322092,0.8280701754385964,47.1464939271255
22746 - poppy's playhouse livingroom,22748 - poppy's playhouse kitchen,0.011619109381755297,0.8531746031746031,45.62758051197358
22748 - poppy's playhouse kitchen,22746 - poppy's playhouse livingroom,0.011619109381755297,0.6213872832369942,45.62758051197358
23254 - childrens cutlery dolly girl,23256 - childrens cutlery spaceboy,0.011186770428015564,0.7723880597014925,45.22869828074816
23256 - childrens cutlery spaceboy,23254 - childrens cutlery dolly girl,0.011186770428015564,0.6550632911392406,45.22869828074816
22745 - poppy's playhouse bedroom,22748 - poppy's playhouse kitchen,0.01372676178123649,0.8037974683544304,42.98690275846931
22748 - poppy's playhouse kitchen,22745 - poppy's playhouse bedroom,0.01372676178123649,0.7341040462427746,42.98690275846931
21933 - pink vintage paisley picnic bag,21932 - scandinavian paisley picnic bag,0.010754431474275832,0.7031802120141343,40.788860950186645
21932 - scandinavian paisley picnic bag,21933 - pink vintage paisley picnic bag,0.010754431474275832,0.6238244514106582,40.788860950186645
84596F - small marshmallows pink bowl,84596B - small dolly mix design orange bowl,0.012159533073929961,0.78125,40.045013850415515
84596B - small dolly mix design orange bowl,84596F - small marshmallows pink bowl,0.012159533073929961,0.6232686980609419,40.045013850415515
22570 - feltcraft cushion rabbit,22569 - feltcraft cushion butterfly,0.010862516212710765,0.6203703703703703,39.045351473922906
22569 - feltcraft cushion butterfly,22570 - feltcraft cushion rabbit,0.010862516212710765,0.6836734693877551,39.0453514739229
23174 - regency sugar bowl green,23173 - regency teapot roses,0.010592304366623433,0.7313432835820896,38.22818112825702
23173 - regency teapot roses,23174 - regency sugar bowl green,0.010592304366623433,0.5536723163841808,38.22818112825702
23175 - regency milk jug pink,23173 - regency teapot roses,0.010376134889753566,0.7058823529411764,36.89730807577268
23173 - regency teapot roses,23175 - regency milk jug pink,0.010376134889753566,0.5423728813559321,36.89730807577268
47590A - blue happy birthday bunting,47590B - pink happy birthday bunting,0.01372676178123649,0.7154929577464788,36.87877908117227
47590B - pink happy birthday bunting,47590A - blue happy birthday bunting,0.01372676178123649,0.7075208913649025,36.87877908117227
82580 - bathroom metal sign,82581 - toilet metal sign,0.012159533073929961,0.587467362924282,35.995020144208326
82581 - toilet metal sign,82580 - bathroom metal sign,0.012159533073929961,0.7450331125827814,35.99502014420832
22579 - wooden tree christmas scandinavian,22578 - wooden star christmas scandinavian,0.012213575443147428,0.8188405797101449,34.9926699467818
22578 - wooden star christmas scandinavian,22579 - wooden tree christmas scandinavian,0.012213575443147428,0.5219399538106235,34.9926699467818
23294 - set of 6 snack loaf baking cases,23295 - set of 12 mini loaf baking cases,0.010430177258971033,0.6632302405498282,34.18499267725354
23295 - set of 12 mini loaf baking cases,23294 - set of 6 snack loaf baking cases,0.010430177258971033,0.5376044568245125,34.18499267725354
21668 - red stripe ceramic drawer knob,21669 - blue stripe ceramic drawer knob,0.01140293990488543,0.6336336336336337,33.40386540386541
21669 - blue stripe ceramic drawer knob,21668 - red stripe ceramic drawer knob,0.01140293990488543,0.6011396011396012,33.40386540386541
23296 - set of 6 tea time baking cases,23295 - set of 12 mini loaf baking cases,0.010268050151318634,0.5956112852664577,30.699696998803713
23295 - set of 12 mini loaf baking cases,23296 - set of 6 tea time baking cases,0.010268050151318634,0.5292479108635098,30.69969699880371
22577 - wooden heart christmas scandinavian,22578 - wooden star christmas scandinavian,0.017239515780371813,0.6889848812095033,29.44336314526709
22578 - wooden star christmas scandinavian,22577 - wooden heart christmas scandinavian,0.017239515780371813,0.7367205542725174,29.443363145267085
22749 - feltcraft princess charlotte doll,22750 - feltcraft princess lola doll,0.012862083873757025,0.5935162094763092,29.054031587697423
22750 - feltcraft princess lola doll,22749 - feltcraft princess charlotte doll,0.012862083873757025,0.6296296296296295,29.05403158769742
22579 - wooden tree christmas scandinavian,22577 - wooden heart christmas scandinavian,0.010808473843493299,0.7246376811594203,28.960465771433935
22577 - wooden heart christmas scandinavian,22579 - wooden tree christmas scandinavian,0.010808473843493299,0.4319654427645788,28.960465771433935
22142 - christmas craft white fairy,22144 - christmas craft little friends,0.010970600951145697,0.632398753894081,27.795502475192578
22144 - christmas craft little friends,22142 - christmas craft white fairy,0.010970600951145697,0.4821852731591449,27.795502475192574
23294 - set of 6 snack loaf baking cases,23293 - set of 12 fairy cake baking cases,0.010916558581928231,0.6941580756013745,27.623012969737278
23293 - set of 12 fairy cake baking cases,23294 - set of 6 snack loaf baking cases,0.010916558581928231,0.4344086021505376,27.623012969737278
22568 - feltcraft cushion owl,22570 - feltcraft cushion rabbit,0.010808473843493299,0.47961630695443647,27.391420197175595
22570 - feltcraft cushion rabbit,22568 - feltcraft cushion owl,0.010808473843493299,0.6172839506172839,27.39142019717559
23293 - set of 12 fairy cake baking cases,23295 - set of 12 mini loaf baking cases,0.013294422827496757,0.5290322580645161,27.268002515949323
23295 - set of 12 mini loaf baking cases,23293 - set of 12 fairy cake baking cases,0.013294422827496757,0.6852367688022284,27.26800251594932
"22699 - roses regency teacup and saucer, 22698 - pink regency teacup and saucer","22423 - regency cakestand 3 tier, 22697 - green regency teacup and saucer",0.012916126242974491,0.5481651376146789,27.120983172251385
"22423 - regency cakestand 3 tier, 22697 - green regency teacup and saucer","22699 - roses regency teacup and saucer, 22698 - pink regency teacup and saucer",0.012916126242974491,0.6390374331550801,27.120983172251382
23296 - set of 6 tea time baking cases,23293 - set of 12 fairy cake baking cases,0.011619109381755297,0.6739811912225705,26.820103144908483
23293 - set of 12 fairy cake baking cases,23296 - set of 6 tea time baking cases,0.011619109381755297,0.46236559139784944,26.82010314490848
"22423 - regency cakestand 3 tier, 22698 - pink regency teacup and saucer","22697 - green regency teacup and saucer, 22699 - roses regency teacup and saucer",0.012916126242974491,0.773462783171521,26.455000628106884
"22697 - green regency teacup and saucer, 22699 - roses regency teacup and saucer","22423 - regency cakestand 3 tier, 22698 - pink regency teacup and saucer",0.012916126242974491,0.4417744916820702,26.455000628106884
"22423 - regency cakestand 3 tier, 22699 - roses regency teacup and saucer, 22697 - green regency teacup and saucer",22698 - pink regency teacup and saucer,0.012916126242974491,0.766025641025641,25.49377421140011
22698 - pink regency teacup and saucer,"22423 - regency cakestand 3 tier, 22699 - roses regency teacup and saucer, 22697 - green regency teacup and saucer",0.012916126242974491,0.4298561151079136,25.49377421140011
22141 - christmas craft tree top angel,22144 - christmas craft little friends,0.010700389105058366,0.5689655172413793,25.007453517896636
22144 - christmas craft little friends,22141 - christmas craft tree top angel,0.010700389105058366,0.47030878859857483,25.007453517896636
22192 - blue diner wall clock,22193 - red diner wall clock,0.010159965412883701,0.5562130177514792,24.740782885753298
22193 - red diner wall clock,22192 - blue diner wall clock,0.010159965412883701,0.4519230769230769,24.740782885753298
"22699 - roses regency teacup and saucer, 22423 - regency cakestand 3 tier, 22698 - pink regency teacup and saucer",22697 - green regency teacup and saucer,0.012916126242974491,0.9018867924528302,24.151249214974197
22697 - green regency teacup and saucer,"22699 - roses regency teacup and saucer, 22423 - regency cakestand 3 tier, 22698 - pink regency teacup and saucer",0.012916126242974491,0.3458755426917511,24.151249214974197
"22423 - regency cakestand 3 tier, 22697 - green regency teacup and saucer",22698 - pink regency teacup and saucer,0.01464548205793342,0.7245989304812834,24.115069441772786
22698 - pink regency teacup and saucer,"22423 - regency cakestand 3 tier, 22697 - green regency teacup and saucer",0.01464548205793342,0.487410071942446,24.115069441772782
"22697 - green regency teacup and saucer, 22699 - roses regency teacup and saucer",22698 - pink regency teacup and saucer,0.021076523994811934,0.7208872458410351,23.991542440723947
22698 - pink regency teacup and saucer,"22697 - green regency teacup and saucer, 22699 - roses regency teacup and saucer",0.021076523994811934,0.7014388489208634,23.991542440723947
