customer_id,recency,frequency,monetary,monetary_capped,total_quantity,unique_products,avg_order_value,first_purchase,last_purchase,customer_lifetime_days,purchase_frequency_per_month,avg_quantity_per_order,monetary_per_order,product_diversity_ratio,r_score,f_score,m_score,rfm_score,rfm_segment
12346,326,1,77183.6,77183.6,74215,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,0,30.0,74215.0,77183.6,0.0005595970900951316,1,1,5,7,Medium Value
12347,2,7,4310.0,4166.6,2458,103,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,365,0.5737704918032788,351.14285714285717,615.7142857142857,0.05763850027979855,5,5,5,15,Top Value
12348,75,4,1797.24,1770.24,2341,22,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,282,0.42402826855123676,585.25,449.31,0.012311135982092894,2,4,4,10,High Value
12349,19,1,1757.55,1587.4860000000003,631,73,24.076027397260273,2011-11-21 09:51:00,2011-11-21 09:51:00,0,30.0,631.0,1757.55,0.0408505875769446,4,1,4,9,Medium Value
12350,310,1,334.40000000000003,332.032,197,17,19.67058823529412,2011-02-02 16:01:00,2011-02-02 16:01:00,0,30.0,197.0,334.40000000000003,0.009513150531617236,1,1,2,4,Low Value
12352,36,8,2506.04,2425.022,536,59,29.482823529411764,2011-02-16 12:33:00,2011-11-03 14:37:00,260,0.9195402298850576,67.0,313.255,0.03301622831561276,3,5,5,13,Top Value
12353,204,1,89.0,88.40299999999999,20,4,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,0,30.0,20.0,89.0,0.002238388360380526,1,1,1,3,Low Value
12354,232,1,1079.4,1079.3999999999999,530,58,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,0,30.0,530.0,1079.4,0.032456631225517625,1,1,4,6,Low Value
12355,214,1,459.40000000000003,453.99999999999994,240,13,35.338461538461544,2011-05-09 13:49:00,2011-05-09 13:49:00,0,30.0,240.0,459.40000000000003,0.007274762171236709,1,1,2,4,Low Value
12356,23,3,2811.43,2725.126,1591,53,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,302,0.297029702970297,530.3333333333334,937.1433333333333,0.02965864577504197,4,3,5,12,High Value
12357,33,1,6207.67,6130.75,2708,131,47.38679389312977,2011-11-06 16:07:00,2011-11-06 16:07:00,0,30.0,2708.0,6207.67,0.07330721880246223,4,1,5,10,High Value
12358,2,2,1168.06,1164.964,248,13,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,149,0.4,124.0,584.03,0.007274762171236709,5,2,4,11,High Value
12359,58,4,6310.03,6010.630000000001,1609,214,25.755224489795918,2011-01-12 12:43:00,2011-10-13 12:47:00,274,0.4363636363636364,402.25,1577.5075,0.11975377728035815,3,4,5,12,High Value
12360,52,3,2662.06,2605.0919999999996,1165,105,20.63612403100775,2011-05-23 09:43:00,2011-10-18 15:22:00,148,0.6040268456375839,388.3333333333333,887.3533333333334,0.05875769445998881,3,3,5,11,High Value
12361,287,1,189.9,189.9,91,10,18.990000000000002,2011-02-25 13:51:00,2011-02-25 13:51:00,0,30.0,91.0,189.9,0.005595970900951315,1,1,1,3,Low Value
12362,3,10,5226.2300000000005,5226.230000000001,2229,201,19.64748120300752,2011-02-17 10:30:00,2011-12-06 15:40:00,292,1.023890784982935,222.9,522.623,0.11247901510912144,5,5,5,15,Top Value
12363,110,2,552.0,552.0,408,23,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,0.45112781954887216,204.0,276.0,0.012870733072188025,2,2,3,7,Medium Value
12364,8,4,1313.1,1296.468,1506,70,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,104,1.1428571428571428,376.5,328.275,0.03917179630665921,5,4,4,13,Top Value
12365,291,2,641.38,578.1825999999996,174,22,29.153636363636362,2011-02-21 13:51:00,2011-02-21 14:04:00,0,60.0,87.0,320.69,0.012311135982092894,1,2,3,6,Low Value
12367,4,1,168.9,168.89999999999998,173,11,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,0,30.0,173.0,168.9,0.006155567991046447,5,1,1,7,Medium Value
12370,51,4,3541.94,3457.79,2352,143,21.33698795180723,2010-12-14 12:58:00,2011-10-19 14:51:00,309,0.3870967741935484,588.0,885.485,0.0800223838836038,3,4,5,12,High Value
12371,45,2,1887.96,1719.6300000000008,591,63,29.96761904761905,2011-10-11 10:43:00,2011-10-26 10:16:00,14,4.0,295.5,943.98,0.035254616675993285,3,2,4,9,Medium Value
12372,72,3,1298.04,1298.0400000000002,794,34,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,224,0.4,264.6666666666667,432.68,0.019026301063234472,3,3,4,10,High Value
12373,311,1,364.6,364.47,197,14,26.042857142857144,2011-02-01 13:10:00,2011-02-01 13:10:00,0,30.0,197.0,364.6,0.00783435926133184,1,1,2,4,Low Value
12374,25,1,742.9300000000001,721.1764,342,33,22.513030303030305,2011-11-14 15:37:00,2011-11-14 15:37:00,0,30.0,342.0,742.9300000000001,0.01846670397313934,4,1,3,8,Medium Value
12375,11,2,457.5,454.17199999999997,178,14,26.91176470588235,2011-09-02 14:23:00,2011-11-29 10:36:00,87,0.6818181818181819,89.0,228.75,0.00783435926133184,5,2,2,9,Medium Value
12377,315,2,1628.1200000000001,1627.512,944,72,21.144415584415587,2010-12-20 09:37:00,2011-01-28 15:45:00,39,1.5,472.0,814.0600000000001,0.04029099048684947,1,2,4,7,Medium Value
12378,130,1,4008.62,3984.503,2529,219,18.30420091324201,2011-08-02 10:34:00,2011-08-02 10:34:00,0,30.0,2529.0,4008.62,0.1225517627308338,2,1,5,8,Medium Value
12379,82,2,852.24,840.072,407,39,21.306,2011-06-22 16:32:00,2011-09-19 10:09:00,88,0.6741573033707865,203.5,426.12,0.02182428651371013,2,2,3,7,Medium Value
12380,22,4,2724.81,2716.248,1127,77,26.200096153846154,2011-06-07 09:49:00,2011-11-18 11:27:00,164,0.7272727272727273,281.75,681.2025,0.04308897593732513,4,4,5,13,Top Value
12381,5,5,1845.31,1707.7100000000003,808,70,21.21045977011494,2011-08-12 09:57:00,2011-12-05 12:44:00,115,1.293103448275862,161.6,369.062,0.03917179630665921,5,4,4,13,Top Value
12383,185,5,1850.56,1844.386,1532,84,18.69252525252525,2010-12-22 14:28:00,2011-06-08 08:02:00,167,0.8928571428571429,306.4,370.11199999999997,0.047006155567991044,1,4,4,9,Medium Value
12384,29,2,585.27,585.2700000000001,126,26,21.676666666666666,2011-08-10 11:23:00,2011-11-11 08:39:00,92,0.6451612903225806,63.0,292.635,0.014549524342473419,4,2,3,9,Medium Value
12386,338,2,401.9,401.576,354,10,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,29,2.0,177.0,200.95,0.005595970900951315,1,2,2,5,Low Value
12388,16,6,2780.6600000000003,2770.7996000000007,1462,57,27.806600000000003,2011-01-17 11:12:00,2011-11-24 12:30:00,311,0.5769230769230769,243.66666666666666,463.4433333333334,0.0318970341354225,4,4,5,13,Top Value
12390,80,1,549.84,545.19,353,32,17.1825,2011-09-21 09:33:00,2011-09-21 09:33:00,0,30.0,353.0,549.84,0.01790710688304421,2,1,3,6,Low Value
12391,22,1,439.66,435.5199999999999,293,92,4.72752688172043,2011-11-18 12:07:00,2011-11-18 12:07:00,0,30.0,293.0,439.66,0.0514829322887521,4,1,2,7,Medium Value
12393,72,4,1582.6000000000001,1524.5769999999998,816,47,24.728125000000002,2011-01-11 09:47:00,2011-09-28 15:41:00,260,0.4597701149425288,204.0,395.65000000000003,0.02630106323447118,3,4,4,11,High Value
12394,64,2,1272.48,1251.1807999999999,819,26,47.12888888888889,2011-05-06 14:01:00,2011-10-07 08:08:00,153,0.3896103896103896,409.5,636.24,0.014549524342473419,3,2,4,9,Medium Value
12395,19,12,3018.63,3014.13,2118,91,19.350192307692307,2010-12-03 16:35:00,2011-11-20 15:21:00,351,1.0227272727272727,176.5,251.5525,0.050923335198656966,4,5,5,14,Top Value
12397,36,2,2409.9,2379.9000000000005,1263,110,19.126190476190477,2011-07-27 14:21:00,2011-11-04 09:52:00,99,0.6,631.5,1204.95,0.06155567991046446,3,2,5,10,High Value
12398,46,1,1635.6599999999999,1531.6679999999994,1394,85,19.24305882352941,2011-10-25 10:27:00,2011-10-25 10:27:00,0,30.0,1394.0,1635.6599999999999,0.04756575265808618,3,1,4,8,Medium Value
12399,119,4,1108.65,1096.6440000000002,1178,47,18.790677966101697,2011-03-23 09:42:00,2011-08-12 13:15:00,142,0.8391608391608392,294.5,277.1625,0.02630106323447118,2,4,4,10,High Value
12401,303,1,84.3,83.994,11,5,16.86,2011-02-09 13:50:00,2011-02-09 13:50:00,0,30.0,11.0,84.3,0.0027979854504756574,1,1,1,3,Low Value
12402,323,1,225.60000000000002,225.06,94,11,20.50909090909091,2011-01-20 13:49:00,2011-01-20 13:49:00,0,30.0,94.0,225.60000000000002,0.006155567991046447,1,1,1,3,Low Value
12403,50,1,427.7,426.37199999999996,96,5,85.53999999999999,2011-10-21 10:51:00,2011-10-21 10:51:00,0,30.0,96.0,427.7,0.0027979854504756574,3,1,2,6,Low Value
12405,149,1,1710.39,1582.925,857,54,31.67388888888889,2011-07-14 08:52:00,2011-07-14 08:52:00,0,30.0,857.0,1710.39,0.0302182428651371,2,1,4,7,Medium Value
12406,22,2,3415.3,3369.9000000000005,1818,92,32.52666666666667,2011-06-09 10:23:00,2011-11-17 19:22:00,161,0.37037037037037035,909.0,1707.65,0.0514829322887521,4,2,5,11,High Value
12407,50,5,1708.12,1705.8703999999996,1416,57,22.18337662337662,2011-03-20 13:21:00,2011-10-21 10:11:00,214,0.6976744186046512,283.2,341.62399999999997,0.0318970341354225,3,4,4,11,High Value
12408,33,5,2888.55,2887.206,1409,81,27.51,2011-03-24 14:46:00,2011-11-07 12:27:00,227,0.6578947368421053,281.8,577.71,0.045327364297705654,4,4,5,13,Top Value
12409,79,3,11072.67,11042.67,5551,91,101.58412844036697,2011-06-10 12:19:00,2011-09-22 10:38:00,103,0.8653846153846153,1850.3333333333333,3690.89,0.050923335198656966,2,3,5,10,High Value
12410,309,2,693.33,663.23,211,26,26.66653846153846,2011-02-04 10:38:00,2011-02-04 10:39:00,0,60.0,105.5,346.665,0.014549524342473419,1,2,3,6,Low Value
12412,75,3,1226.88,1226.5919999999999,829,43,20.112786885245903,2011-06-23 13:51:00,2011-09-26 10:16:00,94,0.9473684210526316,276.3333333333333,408.96000000000004,0.024062674874090653,2,3,4,9,Medium Value
12413,67,3,758.1,755.7690000000001,286,29,19.95,2011-01-06 16:12:00,2011-10-04 09:00:00,270,0.33210332103321033,95.33333333333333,252.70000000000002,0.016228315612758813,3,3,3,9,Medium Value
12414,217,3,562.4100000000001,559.146,300,16,31.245000000000005,2011-02-02 14:51:00,2011-05-06 14:51:00,93,0.9574468085106383,100.0,187.47000000000003,0.008953553441522105,1,3,3,7,Medium Value
12415,24,21,124914.53,123552.13,77374,444,174.95032212885152,2011-01-06 11:12:00,2011-11-15 14:22:00,313,2.006369426751592,3684.4761904761904,5948.310952380953,0.2484611080022384,4,5,5,14,Top Value
12417,3,9,3649.1,3624.1719999999996,1552,158,19.005729166666665,2010-12-17 11:51:00,2011-12-06 14:52:00,354,0.7605633802816901,172.44444444444446,405.4555555555555,0.08841634023503078,5,5,5,15,Top Value
12418,113,1,668.58,668.58,407,34,19.664117647058823,2011-08-19 11:08:00,2011-08-19 11:08:00,0,30.0,407.0,668.58,0.019026301063234472,2,1,3,6,Low Value
12420,64,1,600.39,600.3340000000001,345,29,20.70310344827586,2011-10-07 08:55:00,2011-10-07 08:55:00,0,30.0,345.0,600.39,0.016228315612758813,3,1,3,7,Medium Value
12421,16,4,807.04,807.0400000000001,484,32,17.93422222222222,2011-01-24 15:09:00,2011-11-24 09:07:00,303,0.39473684210526316,121.0,201.76,0.01790710688304421,4,4,3,11,High Value
12422,96,3,803.5600000000001,772.4949999999997,370,39,20.604102564102565,2011-01-19 09:13:00,2011-09-05 09:48:00,229,0.3913043478260869,123.33333333333333,267.85333333333335,0.02182428651371013,2,3,3,8,Medium Value
12423,1,8,1859.31,1858.3308000000002,1339,97,14.87448,2010-12-21 10:54:00,2011-12-09 10:10:00,352,0.6798866855524078,167.375,232.41375,0.05428091773922775,5,5,4,14,Top Value
12424,163,2,1760.96,1716.4855999999995,740,30,58.69866666666667,2011-06-30 12:06:00,2011-06-30 12:06:00,0,60.0,370.0,880.48,0.016787912702853944,2,2,4,8,Medium Value
12425,78,1,777.2,773.4199999999998,496,36,21.58888888888889,2011-09-22 17:31:00,2011-09-22 17:31:00,0,30.0,496.0,777.2,0.020145495243424735,2,1,3,6,Low Value
